,INSTNM,MD_FAMINC,RPY_3YR_RT,SAT_AVG,ACTCMMID
1072,Educators of Beauty College of Cosmetology-Sterling,21992,0.2727272727,,
1073,Southern Illinois University-Carbondale,37454,0.5050697085,1029.0,22.0
1074,Southern Illinois University-Edwardsville,49753.5,0.5838428757,1068.0,23.0
1075,Taylor Business Institute,0,0.1354581673,,
1076,Telshe Yeshiva-Chicago,45448.5,,,
1077,South Suburban College,16067,PrivacySuppressed,,
1078,Tri-County Beauty Academy,23543,0.4782608696,,
1079,Trinity Christian College,50000,0.6824858757,1081.0,24.0
1080,Trinity International University-Illinois,38553,0.5627198124,1079.0,24.0
1081,Triton College,23692.5,0.3884197829,,
1082,University of Spa & Cosmetology Arts,21980,0.5064516129,,
1083,VanderCook College of Music,59619,0.625,1050.0,23.0
1084,Waubonsee Community College,30454,0.4423503326,,
1085,Resurrection University,27756,0.7979452055,,
1086,Western Illinois University,36222,0.5898019975,970.0,21.0
1087,Wheaton College,89742,0.8789473684,1306.0,30.0
1088,William Rainey Harper College,25797,0.4697277529,,
1089,Ancilla College,33939.5,0.3661087866,,
1090,Anderson University,59206,0.6376221498,1019.0,22.0
1091,Ball State University,61975,0.6458934663,1057.0,22.0
1092,Bethel College-Indiana,45226,0.6261373036,1039.0,23.0
1093,Butler University,109207,0.8453683443,1215.0,28.0
1094,Calumet College of Saint Joseph,28978.5,0.352484472,,
1095,Christian Theological Seminary,,PrivacySuppressed,,
1096,College of Court Reporting Inc,27431,0.418699187,,
1097,Concordia Theological Seminary,,PrivacySuppressed,,
1098,Tricoci University of Beauty Culture-Highland,18035.5,0.3359375,,
1099,DePauw University,82288,0.8177496038,1187.0,27.0
1100,Don Roberts School of Hair Design,18830,0.5365853659,,
1101,Don Roberts Beauty School,10606,0.4137931034,,
1102,Earlham College,62075,0.7838541667,,
1103,University of Evansville,68453,0.7607305936,1147.0,26.0
1104,Franklin College,74443,0.7106690778,991.0,22.0
1105,Goshen College,55672,0.8198614319,1074.0,26.0
1106,Grace College and Theological Seminary,62574,0.7978227061,1076.0,24.0
1107,Hair Fashions By Kaye Beauty College-Noblesville,19953,0.421686747,,
1108,Hanover College,76697.5,0.7119815668,1093.0,25.0
1109,J Michael Harrold Beauty Academy,14118,0.3269230769,,
1110,Holy Cross College,63590.5,0.5884476534,1053.0,24.0
1111,PJ's College of Cosmetology-Clarksville,12519,0.2433862434,,
1112,Huntington University,57815,0.7635726795,1019.0,22.0
1113,Ivy Tech Community College,22587,0.2593336648,,
1114,Indiana University-Purdue University-Fort Wayne,46408,0.5301828775,976.0,21.0
1115,Indiana University-Purdue University-Indianapolis,45002,0.5456813489,1025.0,23.0
1116,Harrison College-Indianapolis,16626,0.2274305556,,
1117,University of Indianapolis,55676,0.5150871228,1033.0,23.0
1118,Indiana Institute of Technology,14380,0.3182978723,944.0,21.0
1119,University of Southern Indiana,54413,0.5920627596,1005.0,22.0
1120,Indiana State University,39723,0.4980228928,907.0,19.0
1121,Indiana University-Kokomo,41864.5,0.5009721322,938.0,21.0
1122,Indiana University-South Bend,40867.5,0.4920634921,952.0,21.0
1123,Indiana University-Bloomington,75001,0.7158610739,1200.0,27.0
1124,Indiana University-Northwest,36436,0.358699412,939.0,21.0
1125,Indiana University-Southeast,36062.5,0.4901561439,943.0,20.0
1126,Indiana University-East,35515,0.4386865059,949.0,21.0
1127,International Business College-Fort Wayne,37621,0.6676557864,,
1128,International Business College-Indianapolis,37621,0.6676557864,,
1129,Knox Beauty College,12682,PrivacySuppressed,,
1130,Tricoci University of Beauty Culture-Lafayette,17538,0.4540540541,,
1131,Brown Mackie College-Merrillville,16797,0.2254649322,,
1132,Empire Beauty School-Indianapolis,13279.5,0.2741273101,,
1133,Lincoln College of Technology-Indianapolis,24468,0.407195572,,
1134,Manchester University,63382.5,0.696350365,1019.0,24.0
1135,Marian University,49554,0.5959322034,1025.0,22.0
1136,Indiana Wesleyan University-Marion,35007,0.5428111854,1077.0,24.0
1137,Martin University,11230,0.1455399061,,
1138,Anabaptist Mennonite Biblical Seminary,,,,
1139,Brown Mackie College-South Bend,16797,0.2254649322,,
1140,Mid-America College of Funeral Service,28486,0.3389830508,,
1141,West Michigan College of Barbering and Beauty,8710.5,PrivacySuppressed,,
1142,University of Notre Dame,112232,0.9330334833,1474.0,34.0
1143,Oakland City University,41786,0.5930232558,978.0,21.0
1144,PJ's College of Cosmetology-Richmond,10071,PrivacySuppressed,,
1145,Purdue University-Calumet Campus,39335,0.4215463331,978.0,21.0
1146,Purdue University-North Central Campus,47871,0.4807280514,968.0,21.0
1147,Ravenscroft Beauty College,14613,0.1933085502,,
1148,Rogers Academy of Hair Design,15525,0.4239130435,,
1149,Rose-Hulman Institute of Technology,105358,0.9328467153,1318.0,30.0
1150,Rudae's School of Beauty Culture-Kokomo,23849,0.4141791045,,
1151,University of Saint Francis-Fort Wayne,52419,0.5794701987,1001.0,22.0
1152,Saint Josephs College,58387.5,0.6344086022,999.0,23.0
1153,Saint Mary-of-the-Woods College,37057,0.5007680492,928.0,20.0
1154,Saint Mary's College,87888,0.8443708609,1117.0,25.0
1155,Brightwood College-Hammond,15559,0.2495667244,,
1156,Saint Meinrad School of Theology,,,,
1157,Saint Elizabeth School of Nursing,35252,0.625,,
1158,Taylor University,73593,0.8081632653,1138.0,26.0
1159,Trine University,56102,0.6286919831,1079.0,24.0
1160,Valparaiso University,70535,0.7690437601,1153.0,26.0
1161,Vincennes Beauty College,20854,0.3921568627,,
1162,Vincennes University,31863,0.4123348018,,
1163,Wabash College,88462,0.7008310249,1145.0,26.0
1164,Allen College,56247,0.8383838384,,
1165,Briar Cliff University,44561,0.6558641975,,
1166,Buena Vista University,40952,0.5823199252,1046.0,23.0
1167,Capri College-Dubuque,24000,0.625,,
1168,Capri College-Cedar Rapids,27657,0.4923664122,,
1169,Central College,81191.5,0.7709923664,1091.0,24.0
1170,Clarke University,66479,0.748549323,1043.0,23.0
1171,Coe College,73952.5,0.8101071975,1145.0,25.0
1172,Cornell College,80000,0.7101167315,1172.0,26.0
1173,Iowa School of Beauty-Marshalltown,18589,0.3043478261,,
1174,Des Moines Area Community College,34507,0.4008017741,,
1175,Divine Word College,1823,PrivacySuppressed,,
1176,Dordt College,83534.5,0.9128440367,1113.0,25.0
1177,Drake University,89603,0.8358433735,1241.0,28.0
1178,University of Dubuque,41836.5,0.5985663082,923.0,20.0
1179,Ellsworth Community College,39957,0.400250941,,
1180,Emmaus Bible College,44972,0.8349514563,1088.0,24.0
1181,Eastern Iowa Community College District,25444.5,0.3909653133,,
1182,Faith Baptist Bible College and Theological Seminary,48044,0.8675496689,1051.0,23.0
1183,Faust Institute of Cosmetology-Storm Lake,17539.5,0.4761904762,,
1184,Graceland University-Lamoni,49130,0.5878995434,971.0,21.0
1185,Grand View University,50047.5,0.6125,970.0,21.0
1186,Grinnell College,74915.5,0.885786802,1410.0,32.0
1187,Kaplan University-Mason City Campus,18320,0.2559600944,,
1188,Kaplan University-Cedar Rapids Campus,18320,0.2559600944,,
1189,Hamilton Technical College,20621,0.393258427,,
1190,Hawkeye Community College,37546,0.4526094079,,
1191,American Hair Academy,27723,0.5,,
1192,Indian Hills Community College,31070,0.3968298109,,
1193,Iowa Central Community College,29191,0.3917137476,,
1194,Iowa Lakes Community College,36840.5,0.543601359,,
1195,UnityPoint Health-Des Moines School of Radiologic Technology,16330,PrivacySuppressed,,
1196,American College of Hairstyling-Des Moines,22303,PrivacySuppressed,,
1197,Iowa School of Beauty-Des Moines,21819.5,0.3430962343,,
1198,Iowa State University,76488,0.7589904679,1144.0,25.0
1199,Iowa Wesleyan University,33464,0.5685884692,917.0,19.0
1200,Iowa Western Community College,29881,0.4347623486,,
1201,University of Iowa,72993,0.709922646,1165.0,26.0
1202,Kirkwood Community College,31617,0.4414297157,,
1203,La James International College-Cedar Falls,17852.5,0.3426573427,,
1204,La James International College-Johnston,19110,0.3487179487,,
1205,La James College of Hairstyling and Cosmetology,21532,0.4255319149,,
1206,La James International College-Ft Dodge,14956,0.3359375,,
1207,Loras College,85517.5,0.8292349727,1051.0,23.0
1208,Luther College,92364,0.8259557344,1157.0,26.0
1209,Maharishi University of Management,8040,0.5614754098,,
1210,Marshalltown Community College,34741,0.4034451496,,
1211,Mercy College of Health Sciences,41783,0.676096181,,
1212,Morningside College,71161.5,0.7377483444,1070.0,23.0
1213,Mount Mercy University,50311.5,0.7284090909,990.0,21.0
1214,Ashford University,17066,0.2463376352,,
1215,North Iowa Area Community College,40270.5,0.4804407713,,
1216,University of Northern Iowa,70582.5,0.7279649724,1050.0,23.0
1217,Northwestern College,81300,0.87135506,1113.0,25.0
1218,Northeast Iowa Community College,33205.5,0.4806899138,,
1219,Northwest Iowa Community College,43487.5,0.6972477064,,
1220,Des Moines University-Osteopathic Medical Center,PrivacySuppressed,PrivacySuppressed,,
1221,Iowa School of Beauty-Ottumwa,23711.5,0.2619047619,,
1222,Palmer College of Chiropractic,17737,0.4036697248,,
1223,PCI Academy-Ames,38753,0.4947368421,,
1224,Saint Ambrose University,69543.5,0.6804564907,1050.0,23.0
1225,St Luke's College,37926,0.8,,
1226,La James International College-Davenport,15719,0.3246753247,,
1227,La James International College-Iowa City,16521,0.3942307692,,
1228,Simpson College,72990.5,0.7568359375,1103.0,24.0
1229,Southeastern Community College,27207,0.4211212516,,
1230,Southwestern Community College,34342,0.4598930481,,
1231,Capri College-Davenport,26176,0.4590163934,,
1232,Iowa School of Beauty-Sioux City,14437,0.3733333333,,
1233,E Q School of Hair Design,17587,0.3896103896,,
1234,Upper Iowa University,31130,0.4993270525,968.0,21.0
1235,Waldorf University,40142,0.5451559934,960.0,21.0
1236,Wartburg College,83925.5,0.7906976744,1084.0,24.0
1237,Wartburg Theological Seminary,PrivacySuppressed,,,
1238,The Salon Professional Academy,20845,0.265625,,
1239,Western Iowa Tech Community College,30445,0.4585300067,,
1240,William Penn University,38157,0.5106732348,889.0,19.0
1241,Allen County Community College,30009,0.3696721311,,
1242,Baker University,55117,0.6510736196,1053.0,23.0
1243,Barton County Community College,30428.5,0.4161490683,,
1244,Benedictine College,95543,0.77125,1116.0,25.0
1245,Bethany College,45677,0.6666666667,960.0,21.0
1246,Bethel College-North Newton,42987.5,0.6943521595,,
1247,Brown Mackie College-Kansas City,16301.5,0.2868142445,,
1248,Brown Mackie College-Salina,16301.5,0.2868142445,,
1249,Bryan University,11762,0.1776649746,,
1250,Butler Community College,29514,0.3894195445,,
1251,Central Christian College of Kansas,30263,0.4336633663,921.0,20.0
1252,Cloud County Community College,28976,0.451787649,,
1253,Coffeyville Community College,27976,0.3080495356,,
1254,Colby Community College,31975.5,0.5744680851,,
1255,Cowley County Community College,31967,0.3382970599,,
1256,Dodge City Community College,29273,0.4484848485,,
1257,Donnelly College,22484.5,0.2368421053,,
1258,Emporia State University,51017,0.5902048976,1029.0,22.0
1259,Flint Hills Technical College,35141,0.472972973,,
1260,Fort Hays State University,42453.5,0.5928656361,,
1261,Barclay College,37489.5,0.564516129,,
1262,Friends University,45678,0.5188367482,1002.0,22.0
1263,Fort Scott Community College,28863,0.36996337,,
1264,Garden City Community College,32220,0.5047984645,,
1265,Haskell Indian Nations University,22822,,872.0,18.0
1266,Hays Academy of Hair Design,24157,0.4868421053,,
1267,Hesston College,53079.5,0.6931216931,,
1268,Highland Community College,29737,0.3943370166,,
1269,Hutchinson Community College,30354,0.4300867888,,
1270,Independence Community College,25419.5,0.3957597173,,
1271,Johnson County Community College,29784,0.4530218385,,
1272,Concorde Career College-Kansas City,17899,0.3313521545,,
1273,Kansas City Kansas Community College,21754,0.2914553258,,
1274,Kansas Christian College,22180,,,
1275,University of Kansas,64240.5,0.6581306018,1185.0,26.0
1276,Newman University,42909,0.5565326633,1079.0,24.0
1277,Old Town Barber College-Wichita,16171,0.1666666667,,
1278,Kansas State University,67000,0.6842246348,,
1279,Kansas Wesleyan University,49181,0.58,1003.0,22.0
1280,Washburn Institute of Technology,36446,0.4968028913,,
1281,Labette Community College,28520,0.4957507082,,
1282,Manhattan Area Technical College,33943,0.4878472222,,
1283,Manhattan Christian College,49684,0.6130653266,1022.0,22.0
1284,McPherson College,57117,0.6573275862,1011.0,22.0
1285,MidAmerica Nazarene University,45283,0.6911090742,994.0,22.0
1286,Neosho County Community College,30850,0.4557463672,,
1287,North Central Kansas Technical College,37372,0.5586319218,,
1288,Northwest Kansas Technical College,33494,0.4957746479,,
1289,Ottawa University-Ottawa,37231.5,0.4652137469,,
1290,Ottawa University-Kansas City,37231.5,0.4652137469,,
1291,Pittsburg State University,49467,0.6025806452,1010.0,22.0
1292,Pratt Community College,37951,0.525107604,,
1293,University of Saint Mary,55329,0.5925925926,1005.0,22.0
1294,Salina Area Technical College,27279,0.5746606335,,
1295,Seward County Community College,32921,0.5584045584,,
1296,Southwestern College,39347,0.5686512758,959.0,21.0
1297,Sterling College,45058,0.5964912281,967.0,21.0
1298,Tabor College,49304.5,0.6020618557,971.0,21.0
1299,Washburn University,36446,0.4968028913,,
1300,Wichita State University-Campus of Applied Sciences and Technology,24244,0.3336599706,,
1301,Wichita State University,43391,0.5362578335,1102.0,24.0
1302,Wichita Technical Institute,10582,0.2344678552,,
1303,Alice Lloyd College,39463,0.4647887324,1010.0,22.0
1304,Asbury University,55322,0.658839779,1124.0,25.0
1305,Asbury Theological Seminary,13154.5,PrivacySuppressed,,
1306,Ashland Community and Technical College,17762.5,0.2446700508,,
1307,Barrett and Company School of Hair Design,12768,0.425,,
1308,Bellarmine University,68249,0.7438794727,1118.0,25.0
1309,Berea College,22742,0.6761006289,1123.0,25.0
1310,PJ's College of Cosmetology-Bowling Green,14380.5,0.195970696,,
1311,Southcentral Kentucky Community and Technical College,24210,0.2669546436,,
1312,Brescia University,34373,0.4908350305,1060.0,23.0
1313,Campbellsville University,34000,0.4413043478,1008.0,22.0
1314,Bluegrass Community and Technical College,24109,0.3079947575,,
1315,Centre College,84855.5,0.8044077135,1266.0,29.0
1316,Clear Creek Baptist Bible College,29081,,,
1317,Paul Mitchell the School-Lexington,20269,0.3031161473,,
1318,Galen College of Nursing-Louisville,32673.5,0.4046875,,
1319,University of the Cumberlands,38747,0.5261958998,1025.0,22.0
1320,Eastern Kentucky University,39224.5,0.4846035948,1049.0,23.0
1321,Elizabethtown Community and Technical College,22907,0.3142565151,,
1322,Frontier Nursing University,PrivacySuppressed,PrivacySuppressed,,
1323,Georgetown College,59301,0.6738056013,1061.0,23.0
1324,PJ's College of Cosmetology-Glasgow,14240,0.2619047619,,
1325,Hazard Community and Technical College,10487,0.229618549,,
1326,Paul Mitchell the School-Louisville,21005,0.35,,
1327,Henderson Community College,21572,0.3272519954,,
1328,Hopkinsville Community College,24302,0.2940234792,,
1329,Jefferson Community and Technical College,19043.5,0.2715222548,,
1330,Summit Salon Academy-Lexington,14052,0.2340425532,,
1331,American National University-Lexington,12639,0.140596745,,
1332,Kentucky Mountain Bible College,30229,0.46875,1010.0,22.0
1333,Kentucky State University,27492,0.2352601156,907.0,19.0
1334,Kentucky Wesleyan College,47139.5,0.5708661417,992.0,21.0
1335,University of Kentucky,61931.5,0.6325903151,1159.0,26.0
1336,Kentucky Christian University,42846,0.5263157895,962.0,21.0
1337,Lexington Theological Seminary,,PrivacySuppressed,,
1338,Lindsey Wilson College,25540.5,0.4204778157,,
1339,Sullivan College of Technology and Design,23878,0.3757700205,,
1340,University of Louisville,47376,0.5853184249,1165.0,26.0
1341,Louisville Presbyterian Theological Seminary,,,,
1342,Madisonville Community College,22750.5,0.3799256506,,
1343,Maysville Community and Technical College,18142,0.2358735096,,
1344,Midway University,31774,0.4322169059,967.0,21.0
1345,Morehead State University,35407,0.4655647383,1066.0,23.0
1346,Murray State University,46064,0.5724856125,1101.0,24.0
1347,Gateway Community and Technical College,24074,0.2803532009,,
1348,Northern Kentucky University,48195,0.5464907995,1066.0,23.0
1349,Daymar College-Owensboro,12569,0.1895947974,,
1350,West Kentucky Community and Technical College,19678,0.3395238095,,
1351,University of Pikeville,23445,0.4150943396,927.0,20.0
1352,Big Sandy Community and Technical College,13825,0.2489913545,,
1353,Brown Mackie College-Louisville,16797,0.2254649322,,
1354,Empire Beauty School-Chenoweth,15061,0.2978723404,,
1355,Empire Beauty School-Elizabethtown,12594.5,0.2591424968,,
1356,Empire Beauty School-Dixie,13279.5,0.2741273101,,
1357,Empire Beauty School-Florence,14091,0.2771362587,,
1358,Somerset Community College,19686,0.2591331972,,
1359,Southeast Kentucky Community and Technical College,13940,0.2669902913,,
1360,Spalding University,33885.5,0.4295774648,972.0,21.0
1361,Spencerian College-Louisville,22280,0.2985074627,,
1362,Sullivan University,22309,0.3149813556,,
1363,Thomas More College,59077,0.6262886598,1027.0,22.0
1364,Transylvania University,84264.5,0.75,,
1365,Trend Setters' Academy of Beauty Culture-Louisville,12494,0.2264808362,,
1366,Union College,36523,0.4670050761,950.0,20.0
1367,Western Kentucky University,41838,0.4687898089,1044.0,23.0
1368,Central Louisiana Technical Community College,17573,,,
1369,Ayers Career College,15561,0.4473684211,,
1370,Baton Rouge General Medical Center-School of Nursing,24905,PrivacySuppressed,,
1371,Baton Rouge School of Computers,14587,0.4615384615,,
1372,Capital Area Technical College,13443,,,
1373,Bossier Parish Community College,19615.5,0.4133370074,,
1374,Cameron College,10155,0.4266666667,,
1375,Centenary College of Louisiana,62373,0.7190635452,1121.0,25.0
1376,Cloyd's Beauty School 1 Inc,12425,,,
1377,Crescent City Bartending School,10329,0.2497570457,,
1378,D'Jay's Institute of Cosmetology and Esthiology,17841,0.4404761905,,
1379,Delgado Community College,16649.5,0.4865775581,,
1380,Delta School of Business and Technology,11003.5,0.4144486692,,
1381,Avery James School of Cosmetology,11372,,,
1382,Denham Springs Beauty School,25978,0.5862068966,,
1383,Dillard University,23449,0.5470668486,931.0,20.0
1384,Nunez Community College,16977.5,0.4829545455,,
1385,Grambling State University,19680,0.4084337349,874.0,18.0
1386,Guy's Shreveport Academy of Cosmetology Inc,20874,0.3564356436,,
1387,ITI Technical College,26512,0.6435643564,,
1388,John Jay Beauty College,13394.5,,,
1389,John Jay Beauty College,13829,,,
1390,Louisiana State University Health Sciences Center-New Orleans,33813,0.8080357143,,
1391,Louisiana State University-Alexandria,32073,0.626984127,969.0,21.0
1392,Louisiana State University and Agricultural & Mechanical College,55214,0.7236295681,1162.0,26.0
1393,Louisiana State University-Eunice,26778,0.5471698113,,
1394,Louisiana State University-Shreveport,25731,0.5729564553,1048.0,23.0
1395,Aveda Institute-Baton Rouge,16450,0.5367965368,,
1396,Aveda Institute-Lafayette,20768,0.671641791,,
1397,Louisiana Academy of Beauty,17020.5,0.5517241379,,
1398,Louisiana College,32431,0.6690518784,970.0,21.0
1399,Opelousas School of Cosmetology,15718,PrivacySuppressed,,
1400,Louisiana Tech University,45709.5,0.6615384615,1105.0,24.0
1401,Loyola University New Orleans,62000,0.6513761468,1165.0,26.0
1402,McNeese State University,35341.5,0.6229967949,1027.0,22.0
1403,University of New Orleans,29218,0.6303005352,1034.0,22.0
1404,Nicholls State University,36747,0.6804680468,1030.0,22.0
1405,University of Louisiana at Monroe,33055,0.6313154301,1057.0,23.0
1406,Northwest Louisiana Technical College,12399,,,
1407,Notre Dame Seminary Graduate School of Theology,,,,
1408,Northwestern State University of Louisiana,30223,0.6200846945,1006.0,22.0
1409,University of Holy Cross,26489.5,0.6882129278,950.0,20.0
1410,Franciscan Missionaries of Our Lady University,36926,0.7317073171,1010.0,22.0
1411,Pat Goins Benton Road Beauty School,9974,0.5272727273,,
1412,Celebrity Stylist Beauty School,8344.5,PrivacySuppressed,,
1413,Pat Goins Ruston Beauty School,7420,0.5294117647,,
1414,Pineville Beauty School,9628,,,
1415,Aveda Institute-Covington,23058,0.4675842086,,
1416,Saint Joseph Seminary College,37732,PrivacySuppressed,,
1417,Vanguard College of Cosmetology-Slidell,18821,0.5287671233,,
1418,South Louisiana Beauty College,5981,0.4594594595,,
1419,Fletcher Technical Community College,20469,,,
1420,Remington College-Lafayette Campus,13648,0.2589161649,,
1421,SOWELA Technical Community College,17038,PrivacySuppressed,,
1422,Stevensons Academy of Hair Design,15285.5,,,
1423,Southeastern Louisiana University,34942,0.6656864963,1010.0,22.0
1424,Southern University and A & M College,23466,0.5324754902,1080.0,24.0
1425,Southern University at New Orleans,16552,0.5384092454,850.0,18.0
1426,Southern University at Shreveport,16393,0.4310679612,,
1427,University of Louisiana at Lafayette,41647.5,0.6930512017,1089.0,24.0
1428,Northshore Technical Community College,16759,,,
1429,Tulane University of Louisiana,64959,0.7080361388,1346.0,31.0
1430,Xavier University of Louisiana,33111.5,0.5254901961,1054.0,23.0
1431,South Central Louisiana Technical College,15697.5,,,
1432,Kaplan University-Maine Campus,18320,0.2559600944,,
1433,College of the Atlantic,57786,0.7708333333,,
1434,Bates College,86734,0.8764940239,,
1435,Beal College,20463,0.3358778626,,
1436,Bowdoin College,61622.5,0.9,,
1437,Maine College of Health Professions,38473.5,0.7151515152,905.0,
1438,Central Maine Community College,23697.5,0.4573845153,,
1439,Colby College,94859,0.8714733542,1383.0,32.0
1440,Eastern Maine Community College,26901.5,0.4561797753,,
1441,Kennebec Valley Community College,27180,0.4581005587,,
1442,The Landing School,34219,PrivacySuppressed,,
1443,University of Maine at Augusta,23539,0.4045174538,,
1444,University of Maine at Farmington,53596,0.6534823732,,
1445,University of Maine at Fort Kent,36734,0.6385542169,890.0,19.0
1446,University of Maine at Machias,26539.5,0.5352112676,,
1447,University of Maine,65562,0.7203204661,1073.0,24.0
1448,Maine Maritime Academy,87728,0.878440367,1042.0,23.0
1449,University of Maine at Presque Isle,33445.5,0.5309278351,,
1450,University of New England,84109,0.7333867094,1055.0,24.0
1451,Northern Maine Community College,24394,0.4444444444,,
1452,Empire Beauty School-Maine,14091,0.2771362587,,
1453,Maine College of Art,56585.5,0.662037037,,
1454,Saint Joseph's College of Maine,71346,0.7333333333,920.0,22.0
1455,Spa Tech Institute-Westbrook,26200,0.5512820513,,
1456,Southern Maine Community College,26271,0.4796344648,,
1457,University of Southern Maine,35814.5,0.6503608661,984.0,22.0
1458,Thomas College,51444.5,0.6468253968,,
1459,Unity College,66806.5,0.6819484241,,
1460,Washington County Community College,24686,0.4146341463,,
1461,Aaron's Academy of Beauty,13408,0.2419354839,,
1462,Aesthetics Institute of Cosmetology,8344,0.4307692308,,
1463,Allegany College of Maryland,32457.5,0.4488636364,,
1464,Anne Arundel Community College,27936,0.4038054968,,
1465,Brightwood College-Towson,12581,0.2119205298,,
1466,Award Beauty School,10623,0.18230563,,
1467,Baltimore Studio of Hair Design,5969,0.0833333333,,
1468,Baltimore City Community College,13594,,,
1469,University of Baltimore,28800,0.4312227074,924.0,21.0
1470,Bowie State University,36428.5,0.306122449,856.0,17.0
1471,Capitol Technology University,41100,0.6787878788,1018.0,23.0
1472,Cecil College,28227.5,0.4205020921,,
1473,College of Southern Maryland,29723,0.4188741722,,
1474,Chesapeake College,19913,,,
1475,Washington Adventist University,34060.5,0.439688716,854.0,18.0
1476,Coppin State University,26331,0.2610695802,829.0,17.0
1477,Delmarva Beauty Academy,13098,0.2038834951,,
1478,North American Trade Schools,13361.5,0.2697495183,,
1479,Frederick Community College,31282.5,0.4804063861,,
1480,Frostburg State University,49589,0.578581363,970.0,21.0
1481,Garrett College,28242.5,0.3333333333,,
1482,Goucher College,71417,0.7322097378,,
1483,Kaplan University-Hagerstown Campus,18320,0.2559600944,,
1484,Hagerstown Community College,28266,0.4120458891,,
1485,Harford Community College,30022.5,0.4610281924,,
1486,Hood College,52820,0.7011331445,,
1487,Howard Community College,25403.5,0.3589420655,,
1488,Aveda Institute-Maryland,14228,0.3647058824,,
1489,Johns Hopkins University,79479.5,0.822309417,1476.0,33.0
1490,L'Academie de Cuisine,45000,0.6991869919,,
1491,Lincoln College of Technology-Columbia,25502,0.3785259327,,
1492,Loyola University Maryland,109587.5,0.8208578638,,
1493,Maryland Beauty Academy,11885.5,PrivacySuppressed,,
1494,University of Maryland-University College,30322.5,0.4313363244,,
1495,University of Maryland Baltimore,38652,0.8424821002,,
1496,University of Maryland-Baltimore County,46405,0.6737203317,1216.0,27.0
1497,University of Maryland-College Park,67353,0.7939938254,1337.0,31.0
1498,Maryland Institute College of Art,73007,0.7319587629,1152.0,25.0
1499,University of Maryland Eastern Shore,34148,0.270452358,872.0,19.0
1500,Fortis Institute-Towson,15144.5,0.2367953839,,
1501,Montgomery Beauty School,11688,0.2095238095,,
1502,Montgomery College,26000,0.4696367011,,
1503,Morgan State University,36276.5,0.2409638554,894.0,18.0
1504,Mount St. Mary's University,82573.5,0.7477124183,1043.0,22.0
1505,Ner Israel Rabbinical College,36173,PrivacySuppressed,,
1506,Hair Academy Inc-New Carrollton,6221.5,0.1456043956,,
1507,Notre Dame of Maryland University,45320,0.5906902087,1058.0,24.0
1508,Prince George's Community College,25468,0.3225560081,,
1509,Brightwood College-Baltimore,10983.5,0.1791158537,,
1510,Robert Paul Academy of Cosmetology Arts & Sciences,25865,0.7093023256,,
1511,Maryland Beauty Academy of Essex,12318,0.3097345133,,
1512,Salisbury University,69454,0.6840696118,,
1513,St Mary's College of Maryland,85000,0.8030888031,1140.0,26.0
1514,St. John's College,80000,0.7346938776,1319.0,30.0
1515,Brightwood College-Beltsville,18550,0.2727272727,,
1516,Towson University,59362,0.6848752763,1070.0,23.0
1517,Maryland University of Integrative Health,,,,
1518,Stevenson University,63596,0.5814234017,1022.0,22.0
1519,Washington College,88294.5,0.8442307692,,
1520,McDaniel College,70197,0.7939914163,1103.0,25.0
1521,Wor-Wic Community College,21353.5,0.5044722719,,
1522,Hult International Business School,26412,PrivacySuppressed,,
1523,New England College of Business and Finance,33128.5,0.5037593985,,
1524,American International College,38891,0.4817444219,881.0,19.0
1525,Amherst College,42053,0.8,1451.0,33.0
1526,Andover Newton Theological School,PrivacySuppressed,PrivacySuppressed,,
1527,Anna Maria College,53085,0.576119403,,
1528,Assabet Valley Regional Technical School,29509,0.6607142857,,
1529,Assumption College,103301,0.8077304262,,
1530,Babson College,91204,0.9063829787,1281.0,29.0
1531,Bancroft School of Massage Therapy,23351,0.7213114754,,
1532,Boston Baptist College,53774,0.6607142857,900.0,16.0
1533,Bay Path University,32289,0.5508253692,967.0,22.0
1534,Bay State College,26886,0.4431924883,,
1535,Bay State School of Technology,14199,0.5683760684,,
1536,Becker College,55145,0.5104895105,1037.0,24.0
1537,Bentley University,106565.5,0.9138062548,1198.0,28.0
1538,Berklee College of Music,50454,0.6507723304,,
1539,Berkshire Community College,24310.5,0.4282632147,,
1540,Empire Beauty School-Boston,10876,0.2742574257,,
1541,Boston Architectural College,24033,0.4709480122,,
1542,Boston Graduate School of Psychoanalysis Inc,,PrivacySuppressed,,
1543,Boston College,103007,0.9073987901,1378.0,32.0
1544,Boston University,81244,0.8220195163,1328.0,30.0
1545,Brandeis University,72611.5,0.828708134,1377.0,31.0
1546,Bridgewater State University,57864,0.6359300477,992.0,22.0
1547,Bristol Community College,25409,0.527198364,,
1548,Signature Healthcare Brockton Hospital School of Nursing,30457,0.5466237942,,
1549,Bunker Hill Community College,17321,0.4485910129,,
1550,Cambridge College,27349,0.4048640916,,
1551,Cape Cod Community College,24110,0.5302114804,,
1552,Catherine Hinds Institute of Esthetics,26643,0.7594936709,,
1553,Laboure College,33464,0.4696016771,,
1554,Clark University,77506,0.797011208,,
1555,Conway School of Landscape Design,,,,
1556,Curry College,64734.5,0.6736990155,943.0,21.0
1557,Lincoln Technical Institute-Somerville,17298,0.2976873265,,
1558,Dean College,51545,0.4852272727,,
1559,Diman Regional Technical Institute,27910,0.5964912281,,
1560,National Aviation Academy of New England,22715,0.5231607629,,
